"Año","Trimestre","Departamento","Nueva- VIS","Nueva- No VIS","Usada - VIS","Usada- No VIS"
"2.025","1","ATLÁNTICO","6","4","130","8"
"2.025","1","BOGOTÁ, D.C.","34","17","244","75"
"2.025","1","BOLÍVAR","11","2","67","10"
"2.025","1","BOYACÁ","9","1","82","18"
"2.025","1","CALDAS","2","1","41","3"
"2.025","1","CAQUETÁ","0","0","34","0"
"2.025","1","CASANARE","1","1","30","1"
"2.025","1","CAUCA","3","0","46","3"
"2.025","1","CESAR","3","0","63","0"
"2.025","1","CHOCÓ","0","0","11","0"
"2.025","1","CÓRDOBA","4","0","104","5"
"2.025","1","CUNDINAMARCA","5","1","123","19"
"2.025","1","GUAINÍA","0","0","1","0"
"2.025","1","GUAVIARE","0","0","2","0"
"2.025","1","HUILA","3","0","78","8"
"2.025","1","LA GUAJIRA","0","0","16","0"
"2.025","1","MAGDALENA","1","0","43","3"
"2.025","1","META","6","0","109","10"
"2.025","1","NARIÑO","1","0","42","3"
"2.025","1","NORTE DE SANTANDER","1","0","86","4"
"2.025","1","PUTUMAYO","0","0","11","1"
"2.025","1","QUINDIO","6","0","37","2"
"2.025","1","RISARALDA","11","1","50","3"
"2.025","1","SANTANDER","6","1","129","13"
"2.025","1","SUCRE","0","0","59","0"
"2.025","1","TOLIMA","19","3","134","24"
"2.025","1","VALLE DEL CAUCA","19","0","181","18"
"2.025","1","VICHADA","0","0","1","0"
"2.025","2","ANTIOQUIA","9","3","207","9"
"2.025","2","ARAUCA","0","0","4","0"
"2.025","2","ATLÁNTICO","7","5","126","6"
"2.025","2","BOGOTÁ, D.C.","20","14","192","83"
"2.025","2","BOLÍVAR","4","3","91","3"
"2.025","2","BOYACÁ","10","3","98","16"
"2.025","2","CALDAS","1","0","65","6"
"2.025","2","CAQUETÁ","1","0","57","2"
"2.025","2","CASANARE","0","1","26","0"
"2.025","2","CAUCA","1","0","55","4"
"2.025","2","CESAR","3","0","52","3"
"2.025","2","CHOCÓ","0","0","13","0"
"2.025","2","CÓRDOBA","5","0","122","0"
"2.025","2","CUNDINAMARCA","6","2","145","20"
"2.025","2","GUAINÍA","0","0","1","0"
"2.025","2","GUAVIARE","0","0","6","0"
"2.025","2","HUILA","5","1","94","8"
"2.025","2","LA GUAJIRA","0","0","10","0"
"2.025","2","MAGDALENA","0","0","47","3"
"2.025","2","META","4","1","104","14"
"2.025","2","NARIÑO","4","3","48","4"
"2.025","2","NORTE DE SANTANDER","2","0","98","11"
"2.025","2","PUTUMAYO","1","0","27","0"
"2.025","2","QUINDIO","0","0","45","4"
"2.025","2","RISARALDA","5","0","55","6"
"2.025","2","SANTANDER","10","1","112","10"
"2.025","2","SUCRE","2","0","81","1"
"2.025","2","TOLIMA","15","3","143","15"
"2.025","2","VALLE DEL CAUCA","13","0","204","19"
"2.025","3","AMAZONAS","0","0","1","0"
"2.025","3","ANTIOQUIA","10","1","178","12"
"2.025","3","ARAUCA","0","0","2","0"
"2.025","3","ATLÁNTICO","4","4","113","4"
"2.025","3","BOGOTÁ, D.C.","13","21","191","65"
"2.025","3","BOLÍVAR","8","2","77","6"
"2.025","3","BOYACÁ","4","2","87","9"
"2.025","3","CALDAS","4","0","43","4"
"2.025","3","CAQUETÁ","1","0","34","0"
